,cluster,year,month,day,datetime,maximum,site,Max PM2.5
123,12,2011.0,6.0,2.0,2011-06-02,95.0,Galveston 99th St. C1034/A320/X183,17.72315789
124,0,2011.0,6.0,3.0,2011-06-03,79.0,Northwest Harris Co. C26/A110/X154,19.53708333
125,0,2011.0,6.0,4.0,2011-06-04,70.0,Northwest Harris Co. C26/A110/X154,12.13291667
126,12,2011.0,6.0,5.0,2011-06-05,78.0,Manvel Croix Park C84,18.83041667
127,12,2011.0,6.0,6.0,2011-06-06,112.0,Galveston 99th St. C1034/A320/X183,30.29458333
128,10,2011.0,6.0,7.0,2011-06-07,80.0,Northwest Harris Co. C26/A110/X154,23.52454545
129,2,2011.0,6.0,8.0,2011-06-08,64.0,Conroe Relocated C78/A321,25.71
130,2,2011.0,6.0,9.0,2011-06-09,64.0,Conroe Relocated C78/A321,14.24416667
131,6,2011.0,6.0,10.0,2011-06-10,58.0,Conroe Relocated C78/A321,16.55958333
132,6,2011.0,6.0,11.0,2011-06-11,60.0,Houston Aldine C8/AF108/X150,20.9125
133,2,2011.0,6.0,12.0,2011-06-12,69.0,Northwest Harris Co. C26/A110/X154,16.95625
134,10,2011.0,6.0,13.0,2011-06-13,63.0,Conroe Relocated C78/A321,12.69863636
135,0,2011.0,6.0,14.0,2011-06-14,42.0,Conroe Relocated C78/A321,12.52916667
136,15,2011.0,6.0,15.0,2011-06-15,42.0,Conroe Relocated C78/A321,11.29583333
137,11,2011.0,6.0,16.0,2011-06-16,31.0,Conroe Relocated C78/A321,23.14
138,3,2011.0,6.0,17.0,2011-06-17,30.0,Conroe Relocated C78/A321,23.91045455
139,1,2011.0,6.0,18.0,2011-06-18,25.0,Conroe Relocated C78/A321,11.69791667
140,0,2011.0,6.0,19.0,2011-06-19,27.0,Conroe Relocated C78/A321,9.477916667
141,3,2011.0,6.0,20.0,2011-06-20,33.0,Conroe Relocated C78/A321,10.17375
142,3,2011.0,6.0,21.0,2011-06-21,29.0,Conroe Relocated C78/A321,16.27
143,3,2011.0,6.0,22.0,2011-06-22,44.0,Manvel Croix Park C84,8.895416667
144,11,2011.0,6.0,23.0,2011-06-23,55.0,Conroe Relocated C78/A321,7.847916667
145,11,2011.0,6.0,24.0,2011-06-24,40.0,Conroe Relocated C78/A321,8.992083333
146,7,2011.0,6.0,25.0,2011-06-25,41.0,Conroe Relocated C78/A321,9.654166667
147,6,2011.0,6.0,26.0,2011-06-26,36.0,Conroe Relocated C78/A321,13.4925
148,6,2011.0,6.0,27.0,2011-06-27,46.0,Conroe Relocated C78/A321,13.00208333
149,9,2011.0,6.0,28.0,2011-06-28,59.0,Northwest Harris Co. C26/A110/X154,11.02708333
150,9,2011.0,6.0,29.0,2011-06-29,68.0,Northwest Harris Co. C26/A110/X154,12.16375
151,5,2011.0,6.0,30.0,2011-06-30,74.0,Northwest Harris Co. C26/A110/X154,13.983
152,5,2011.0,7.0,1.0,2011-07-01,51.0,Conroe Relocated C78/A321,22.63791667
153,5,2011.0,7.0,2.0,2011-07-02,58.0,Wallisville Road C617,21.26625
154,9,2011.0,7.0,3.0,2011-07-03,57.0,Wallisville Road C617,21.03875
155,5,2011.0,7.0,4.0,2011-07-04,59.0,Wallisville Road C617,18.40541667
156,10,2011.0,7.0,5.0,2011-07-05,82.0,Houston Aldine C8/AF108/X150,16.61708333
157,9,2011.0,7.0,6.0,2011-07-06,61.0,Houston Bayland Park C53/A146,15.47541667
158,14,2011.0,7.0,7.0,2011-07-07,58.0,Wallisville Road C617,12.26291667
159,11,2011.0,7.0,8.0,2011-07-08,46.0,Houston Aldine C8/AF108/X150,8.071666667
160,6,2011.0,7.0,9.0,2011-07-09,47.0,Conroe Relocated C78/A321,9.10375
161,1,2011.0,7.0,10.0,2011-07-10,41.0,Conroe Relocated C78/A321,9.965
162,4,2011.0,7.0,11.0,2011-07-11,54.0,Northwest Harris Co. C26/A110/X154,11.62333333
163,4,2011.0,7.0,12.0,2011-07-12,37.0,Conroe Relocated C78/A321,9.674166667
164,4,2011.0,7.0,13.0,2011-07-13,42.0,Conroe Relocated C78/A321,11.67625
165,1,2011.0,7.0,14.0,2011-07-14,36.0,Conroe Relocated C78/A321,15.03041667
166,6,2011.0,7.0,15.0,2011-07-15,27.0,Conroe Relocated C78/A321,18.70291667
167,6,2011.0,7.0,16.0,2011-07-16,39.0,Wallisville Road C617,14.27083333
168,5,2011.0,7.0,17.0,2011-07-17,49.0,Conroe Relocated C78/A321,11.31578947
169,8,2011.0,7.0,18.0,2011-07-18,52.0,Wallisville Road C617,10.67208333
170,12,2011.0,7.0,19.0,2011-07-19,41.0,Wallisville Road C617,13.80291667
171,9,2011.0,7.0,20.0,2011-07-20,45.0,Conroe Relocated C78/A321,16.60666667
172,4,2011.0,7.0,21.0,2011-07-21,48.0,Conroe Relocated C78/A321,22.26708333
173,0,2011.0,7.0,22.0,2011-07-22,33.0,Conroe Relocated C78/A321,11.8475
174,0,2011.0,7.0,23.0,2011-07-23,37.0,Conroe Relocated C78/A321,12.32125
175,12,2011.0,7.0,24.0,2011-07-24,35.0,Houston Aldine C8/AF108/X150,10.86458333
176,12,2011.0,7.0,25.0,2011-07-25,42.0,Wallisville Road C617,11.14333333
177,13,2011.0,7.0,26.0,2011-07-26,45.0,Houston Aldine C8/AF108/X150,11.46208333
178,6,2011.0,7.0,27.0,2011-07-27,41.0,Conroe Relocated C78/A321,9.5275
179,5,2011.0,7.0,28.0,2011-07-28,40.0,Northwest Harris Co. C26/A110/X154,9.029166667
180,4,2011.0,7.0,29.0,2011-07-29,32.0,Northwest Harris Co. C26/A110/X154,7.549583333
181,8,2011.0,7.0,30.0,2011-07-30,45.0,Northwest Harris Co. C26/A110/X154,11.18791667
182,8,2011.0,7.0,31.0,2011-07-31,70.0,Houston East C1/G316,10.78136364
183,12,2011.0,8.0,1.0,2011-08-01,76.0,Wallisville Road C617,9.420416667
184,12,2011.0,8.0,2.0,2011-08-02,64.0,Northwest Harris Co. C26/A110/X154,9.555416667
185,13,2011.0,8.0,3.0,2011-08-03,56.0,Conroe Relocated C78/A321,9.537083333
186,9,2011.0,8.0,4.0,2011-08-04,51.0,Conroe Relocated C78/A321,10.00125
187,8,2011.0,8.0,5.0,2011-08-05,48.0,Conroe Relocated C78/A321,7.75
188,8,2011.0,8.0,6.0,2011-08-06,49.0,Conroe Relocated C78/A321,5.906666667
189,8,2011.0,8.0,7.0,2011-08-07,33.0,Conroe Relocated C78/A321,6.01375
190,15,2011.0,8.0,8.0,2011-08-08,36.0,Conroe Relocated C78/A321,10.42541667
191,15,2011.0,8.0,9.0,2011-08-09,34.0,Conroe Relocated C78/A321,14.36041667
192,11,2011.0,8.0,10.0,2011-08-10,44.0,Conroe Relocated C78/A321,13.47272727
193,11,2011.0,8.0,11.0,2011-08-11,45.0,Conroe Relocated C78/A321,12.56041667
194,15,2011.0,8.0,12.0,2011-08-12,49.0,Conroe Relocated C78/A321,10.47375
195,15,2011.0,8.0,13.0,2011-08-13,34.0,Conroe Relocated C78/A321,10.27041667
196,14,2011.0,8.0,14.0,2011-08-14,49.0,Wallisville Road C617,9.1075
197,15,2011.0,8.0,15.0,2011-08-15,60.0,Conroe Relocated C78/A321,11.7825
198,15,2011.0,8.0,16.0,2011-08-16,63.0,Conroe Relocated C78/A321,13.12833333
199,12,2011.0,8.0,17.0,2011-08-17,72.0,Conroe Relocated C78/A321,11.85125
200,12,2011.0,8.0,18.0,2011-08-18,72.0,Wallisville Road C617,11.67583333
201,13,2011.0,8.0,19.0,2011-08-19,89.0,Wallisville Road C617,13.77541667
202,10,2011.0,8.0,20.0,2011-08-20,71.0,Northwest Harris Co. C26/A110/X154,13.9475
203,9,2011.0,8.0,21.0,2011-08-21,48.0,Houston East C1/G316,10.035
204,12,2011.0,8.0,22.0,2011-08-22,66.0,Conroe Relocated C78/A321,12.13291667
205,13,2011.0,8.0,23.0,2011-08-23,66.0,Conroe Relocated C78/A321,16.1915
206,14,2011.0,8.0,24.0,2011-08-24,63.0,Houston Aldine C8/AF108/X150,23.09083333
207,10,2011.0,8.0,25.0,2011-08-25,63.0,Wallisville Road C617,19.4575
208,14,2011.0,8.0,26.0,2011-08-26,100.0,Houston Aldine C8/AF108/X150,25.85125
209,13,2011.0,8.0,27.0,2011-08-27,88.0,Manvel Croix Park C84,21.42875
210,14,2011.0,8.0,28.0,2011-08-28,101.0,Houston Croquet C409,25.03083333
211,11,2011.0,8.0,29.0,2011-08-29,99.0,Houston Bayland Park C53/A146,27.20791667
212,11,2011.0,8.0,30.0,2011-08-30,100.0,Northwest Harris Co. C26/A110/X154,36.365
213,6,2011.0,8.0,31.0,2011-08-31,83.0,Northwest Harris Co. C26/A110/X154,34.305
214,5,2011.0,9.0,1.0,2011-09-01,58.0,Houston Croquet C409,22.37833333
215,5,2011.0,9.0,2.0,2011-09-02,48.0,Manvel Croix Park C84,11.8275
216,6,2011.0,9.0,3.0,2011-09-03,43.0,Lake Jackson C1016,12.2625
217,7,2011.0,9.0,4.0,2011-09-04,47.0,Northwest Harris Co. C26/A110/X154,12.0
218,7,2011.0,9.0,5.0,2011-09-05,63.0,Manvel Croix Park C84,27.48916667
219,7,2011.0,9.0,6.0,2011-09-06,89.0,Manvel Croix Park C84,19.86083333
220,11,2011.0,9.0,7.0,2011-09-07,80.0,Manvel Croix Park C84,14.7625
221,14,2011.0,9.0,8.0,2011-09-08,108.0,Manvel Croix Park C84,16.4425
222,11,2011.0,9.0,9.0,2011-09-09,91.0,Wallisville Road C617,17.52916667
223,7,2011.0,9.0,10.0,2011-09-10,84.0,Wallisville Road C617,16.17791667
224,15,2011.0,9.0,11.0,2011-09-11,83.0,Wallisville Road C617,14.28291667
225,12,2011.0,9.0,12.0,2011-09-12,82.0,Wallisville Road C617,14.94652174
226,12,2011.0,9.0,13.0,2011-09-13,63.0,Northwest Harris Co. C26/A110/X154,12.19541667
227,13,2011.0,9.0,14.0,2011-09-14,71.0,Conroe Relocated C78/A321,12.04166667
228,11,2011.0,9.0,15.0,2011-09-15,85.0,Houston Aldine C8/AF108/X150,16.80708333
229,1,2011.0,9.0,16.0,2011-09-16,70.0,Northwest Harris Co. C26/A110/X154,18.47416667
230,0,2011.0,9.0,17.0,2011-09-17,56.0,Wallisville Road C617,19.54666667
231,0,2011.0,9.0,18.0,2011-09-18,41.0,Conroe Relocated C78/A321,10.52708333
232,15,2011.0,9.0,19.0,2011-09-19,72.0,Wallisville Road C617,8.204166667
233,15,2011.0,9.0,20.0,2011-09-20,80.0,HRM-3 Haden Road C603/A114,11.9375
234,11,2011.0,9.0,21.0,2011-09-21,84.0,Manvel Croix Park C84,14.06708333
235,15,2011.0,9.0,22.0,2011-09-22,85.0,Manvel Croix Park C84,18.72458333
236,15,2011.0,9.0,23.0,2011-09-23,78.0,Manvel Croix Park C84,15.10166667
237,15,2011.0,9.0,24.0,2011-09-24,92.0,Wallisville Road C617,18.37333333
238,11,2011.0,9.0,25.0,2011-09-25,53.0,Galveston 99th St. C1034/A320/X183,10.37375
239,7,2011.0,9.0,26.0,2011-09-26,44.0,Houston Aldine C8/AF108/X150,7.255
240,11,2011.0,9.0,27.0,2011-09-27,40.0,Houston Aldine C8/AF108/X150,9.752083333
241,11,2011.0,9.0,28.0,2011-09-28,45.0,Houston East C1/G316,16.115
242,11,2011.0,9.0,29.0,2011-09-29,51.0,Wallisville Road C617,10.11916667
243,11,2011.0,9.0,30.0,2011-09-30,75.0,Manvel Croix Park C84,11.28541667
244,7,2012.0,6.0,1.0,2012-06-01,104.0,Houston Bayland Park C53/A146,14.99875
