cluster,datestring,year,month,day,max D8HO,month_string,site
13,2012-09-11,2012,9,11,80,september.csv,
0,2012-09-12,2012,9,12,48,september.csv,
0,2012-09-13,2012,9,13,28,september.csv,
13,2012-09-14,2012,9,14,40,september.csv,
13,2012-09-15,2012,9,15,61,september.csv,
14,2012-09-16,2012,9,16,65,september.csv,
11,2012-09-17,2012,9,17,57,september.csv,
7,2012-09-18,2012,9,18,59,september.csv,
11,2012-09-19,2012,9,19,71,september.csv,
15,2012-09-20,2012,9,20,87,september.csv,
11,2012-09-21,2012,9,21,81,september.csv,
11,2012-09-22,2012,9,22,82,september.csv,
13,2012-09-23,2012,9,23,81,september.csv,
12,2012-09-24,2012,9,24,84,september.csv,
0,2012-09-25,2012,9,25,64,september.csv,
2,2012-09-26,2012,9,26,68,september.csv,
1,2012-09-27,2012,9,27,68,september.csv,
1,2012-09-28,2012,9,28,36,september.csv,
2,2012-09-29,2012,9,29,6,september.csv,
7,2012-09-30,2012,9,30,43,september.csv,
3,2013-06-01,2013,6,1,33,june.csv,
7,2013-06-02,2013,6,2,45,june.csv,
7,2013-06-03,2013,6,3,86,june.csv,
7,2013-06-04,2013,6,4,86,june.csv,
7,2013-06-05,2013,6,5,60,june.csv,
7,2013-06-06,2013,6,6,57,june.csv,
7,2013-06-07,2013,6,7,69,june.csv,
7,2013-06-08,2013,6,8,69,june.csv,
3,2013-06-09,2013,6,9,30,june.csv,
11,2013-06-10,2013,6,10,71,june.csv,
15,2013-06-11,2013,6,11,31,june.csv,
4,2013-06-12,2013,6,12,43,june.csv,
12,2013-06-13,2013,6,13,57,june.csv,
9,2013-06-14,2013,6,14,81,june.csv,
1,2013-06-15,2013,6,15,52,june.csv,
0,2013-06-16,2013,6,16,30,june.csv,
13,2013-06-17,2013,6,17,38,june.csv,
15,2013-06-18,2013,6,18,39,june.csv,
15,2013-06-19,2013,6,19,43,june.csv,
1,2013-06-20,2013,6,20,44,june.csv,
0,2013-06-21,2013,6,21,51,june.csv,
0,2013-06-22,2013,6,22,47,june.csv,
0,2013-06-23,2013,6,23,42,june.csv,
0,2013-06-24,2013,6,24,46,june.csv,
0,2013-06-25,2013,6,25,41,june.csv,
8,2013-06-26,2013,6,26,8,june.csv,
12,2013-06-27,2013,6,27,59,june.csv,
12,2013-06-28,2013,6,28,62,june.csv,
15,2013-06-29,2013,6,29,64,june.csv,
11,2013-06-30,2013,6,30,71,june.csv,
11,2013-07-01,2013,7,1,71,july.csv,
11,2013-07-02,2013,7,2,84,july.csv,
15,2013-07-03,2013,7,3,88,july.csv,
6,2013-07-04,2013,7,4,86,july.csv,
6,2013-07-05,2013,7,5,82,july.csv,
2,2013-07-06,2013,7,6,64,july.csv,
2,2013-07-07,2013,7,7,39,july.csv,
4,2013-07-08,2013,7,8,45,july.csv,
12,2013-07-09,2013,7,9,59,july.csv,
12,2013-07-10,2013,7,10,55,july.csv,
12,2013-07-11,2013,7,11,53,july.csv,
14,2013-07-12,2013,7,12,69,july.csv,
10,2013-07-13,2013,7,13,73,july.csv,
14,2013-07-14,2013,7,14,49,july.csv,
10,2013-07-15,2013,7,15,39,july.csv,
1,2013-07-16,2013,7,16,43,july.csv,
8,2013-07-17,2013,7,17,31,july.csv,
12,2013-07-18,2013,7,18,63,july.csv,
8,2013-07-19,2013,7,19,43,july.csv,
5,2013-07-20,2013,7,20,45,july.csv,
2,2013-07-21,2013,7,21,31,july.csv,
0,2013-07-22,2013,7,22,31,july.csv,
8,2013-07-23,2013,7,23,35,july.csv,
13,2013-07-24,2013,7,24,50,july.csv,
13,2013-07-25,2013,7,25,67,july.csv,
12,2013-07-26,2013,7,26,37,july.csv,
12,2013-07-27,2013,7,27,41,july.csv,
15,2013-07-28,2013,7,28,38,july.csv,
0,2013-07-29,2013,7,29,42,july.csv,
12,2013-07-30,2013,7,30,46,july.csv,
