cluster,year,month,day,date,maximum,site
14,2012,7,10,2012-07-10,34,Conroe Relocated C78/A321
10,2012,7,11,2012-07-11,25,Galveston 99th St. C1034/A320/X183
10,2012,7,12,2012-07-12,27,Wallisville Road C617
9,2012,7,13,2012-07-13,40,Seabrook Friendship Park C45
13,2012,7,14,2012-07-14,49,Houston Aldine C8/AF108/X150
13,2012,7,15,2012-07-15,40,Houston Aldine C8/AF108/X150
4,2012,7,16,2012-07-16,45,Conroe Relocated C78/A321
0,2012,7,17,2012-07-17,43,Conroe Relocated C78/A321
5,2012,7,18,2012-07-18,50,Conroe Relocated C78/A321
8,2012,7,19,2012-07-19,33,Wallisville Road C617
12,2012,7,20,2012-07-20,51,Wallisville Road C617
12,2012,7,21,2012-07-21,48,Wallisville Road C617
12,2012,7,22,2012-07-22,37,Wallisville Road C617
12,2012,7,23,2012-07-23,37,Conroe Relocated C78/A321
12,2012,7,24,2012-07-24,40,Conroe Relocated C78/A321
12,2012,7,25,2012-07-25,32,Conroe Relocated C78/A321
0,2012,7,26,2012-07-26,28,Conroe Relocated C78/A321
15,2012,7,27,2012-07-27,42,Conroe Relocated C78/A321
12,2012,7,28,2012-07-28,59,Houston East C1/G316
12,2012,7,29,2012-07-29,51,Wallisville Road C617
12,2012,7,30,2012-07-30,46,Wallisville Road C617
12,2012,7,31,2012-07-31,42,Wallisville Road C617
12,2012,8,1,2012-08-01,50,Houston Aldine C8/AF108/X150
12,2012,8,2,2012-08-02,48,Conroe Relocated C78/A321
14,2012,8,3,2012-08-03,48,Conroe Relocated C78/A321
5,2012,8,4,2012-08-04,43,Conroe Relocated C78/A321
8,2012,8,5,2012-08-05,35,Northwest Harris Co. C26/A110/X154
12,2012,8,6,2012-08-06,81,Galveston 99th St. C1034/A320/X183
12,2012,8,7,2012-08-07,89,HRM-3 Haden Road C603/A114
13,2012,8,8,2012-08-08,59,Channelview C15/AH115
13,2012,8,9,2012-08-09,45,Wallisville Road C617
15,2012,8,10,2012-08-10,43,Wallisville Road C617
15,2012,8,11,2012-08-11,48,Houston East C1/G316
15,2012,8,12,2012-08-12,39,Conroe Relocated C78/A321
14,2012,8,13,2012-08-13,41,Wallisville Road C617
13,2012,8,14,2012-08-14,37,Houston Aldine C8/AF108/X150
15,2012,8,15,2012-08-15,35,Conroe Relocated C78/A321
1,2012,8,16,2012-08-16,43,Conroe Relocated C78/A321
13,2012,8,17,2012-08-17,40,Wallisville Road C617
15,2012,8,18,2012-08-18,27,Wallisville Road C617
7,2012,8,19,2012-08-19,53,Hou.DeerPrk2 C35/235/1001/AFH139FP239
11,2012,8,20,2012-08-20,89,Seabrook Friendship Park C45
11,2012,8,21,2012-08-21,80,Manvel Croix Park C84
15,2012,8,22,2012-08-22,68,Houston Bayland Park C53/A146
14,2012,8,23,2012-08-23,46,Houston Westhollow C410/C3003
0,2012,8,24,2012-08-24,37,Conroe Relocated C78/A321
2,2012,8,25,2012-08-25,29,Conroe Relocated C78/A321
2,2012,8,26,2012-08-26,44,Houston Aldine C8/AF108/X150
10,2012,8,27,2012-08-27,74,Manvel Croix Park C84
14,2012,8,28,2012-08-28,71,Lake Jackson C1016
11,2012,8,29,2012-08-29,56,Manvel Croix Park C84
7,2012,8,30,2012-08-30,62,Seabrook Friendship Park C45
6,2012,8,31,2012-08-31,47,Conroe Relocated C78/A321
8,2012,9,1,2012-09-01,27,Conroe Relocated C78/A321
12,2012,9,2,2012-09-02,30,Houston Aldine C8/AF108/X150
12,2012,9,3,2012-09-03,33,Conroe Relocated C78/A321
12,2012,9,4,2012-09-04,38,Houston Aldine C8/AF108/X150
14,2012,9,5,2012-09-05,40,Conroe Relocated C78/A321
15,2012,9,6,2012-09-06,55,Wallisville Road C617
14,2012,9,7,2012-09-07,59,Conroe Relocated C78/A321
11,2012,9,8,2012-09-08,55,Manvel Croix Park C84
15,2012,9,9,2012-09-09,63,Manvel Croix Park C84
14,2012,9,10,2012-09-10,77,Houston Croquet C409
13,2012,9,11,2012-09-11,80,Northwest Harris Co. C26/A110/X154
0,2012,9,12,2012-09-12,48,Conroe Relocated C78/A321
0,2012,9,13,2012-09-13,28,Conroe Relocated C78/A321
13,2012,9,14,2012-09-14,40,Seabrook Friendship Park C45
13,2012,9,15,2012-09-15,61,Manvel Croix Park C84
14,2012,9,16,2012-09-16,65,Houston East C1/G316
11,2012,9,17,2012-09-17,57,Galveston 99th St. C1034/A320/X183
7,2012,9,18,2012-09-18,59,Manvel Croix Park C84
11,2012,9,19,2012-09-19,71,Manvel Croix Park C84
15,2012,9,20,2012-09-20,87,Manvel Croix Park C84
11,2012,9,21,2012-09-21,81,Northwest Harris Co. C26/A110/X154
11,2012,9,22,2012-09-22,78,Houston Westhollow C410/C3003
13,2012,9,23,2012-09-23,79,Lang C408
12,2012,9,24,2012-09-24,84,Conroe Relocated C78/A321
0,2012,9,25,2012-09-25,64,Conroe Relocated C78/A321
2,2012,9,26,2012-09-26,68,Conroe Relocated C78/A321
1,2012,9,27,2012-09-27,68,Northwest Harris Co. C26/A110/X154
1,2012,9,28,2012-09-28,32,Lang C408
2,2012,9,29,2012-09-29,21,Galveston 99th St. C1034/A320/X183
7,2012,9,30,2012-09-30,43,Manvel Croix Park C84
3,2013,6,1,2013-06-01,33,Conroe Relocated C78/A321
7,2013,6,2,2013-06-02,45,Galveston 99th St. C1034/A320/X183
7,2013,6,3,2013-06-03,86,Manvel Croix Park C84
7,2013,6,4,2013-06-04,81,Houston Aldine C8/AF108/X150
7,2013,6,5,2013-06-05,58,Lang C408
7,2013,6,6,2013-06-06,43,Lang C408
7,2013,6,7,2013-06-07,69,Manvel Croix Park C84
7,2013,6,8,2013-06-08,69,Conroe Relocated C78/A321
3,2013,6,9,2013-06-09,30,Park Place C416
11,2013,6,10,2013-06-10,64,Conroe Relocated C78/A321
15,2013,6,11,2013-06-11,28,Conroe Relocated C78/A321
4,2013,6,12,2013-06-12,43,Conroe Relocated C78/A321
12,2013,6,13,2013-06-13,51,Wallisville Road C617
9,2013,6,14,2013-06-14,64,Houston Aldine C8/AF108/X150
1,2013,6,15,2013-06-15,50,Conroe Relocated C78/A321
0,2013,6,16,2013-06-16,28,Conroe Relocated C78/A321
13,2013,6,17,2013-06-17,37,Conroe Relocated C78/A321
15,2013,6,18,2013-06-18,38,Wallisville Road C617
15,2013,6,19,2013-06-19,42,Conroe Relocated C78/A321
1,2013,6,20,2013-06-20,44,Conroe Relocated C78/A321
0,2013,6,21,2013-06-21,51,Conroe Relocated C78/A321
0,2013,6,22,2013-06-22,47,Conroe Relocated C78/A321
0,2013,6,23,2013-06-23,42,Conroe Relocated C78/A321
0,2013,6,24,2013-06-24,46,Conroe Relocated C78/A321
0,2013,6,25,2013-06-25,41,Conroe Relocated C78/A321
8,2013,6,26,2013-06-26,55,Conroe Relocated C78/A321
12,2013,6,27,2013-06-27,52,Houston Aldine C8/AF108/X150
12,2013,6,28,2013-06-28,62,Houston East C1/G316
15,2013,6,29,2013-06-29,64,Manvel Croix Park C84
11,2013,6,30,2013-06-30,67,Manvel Croix Park C84
11,2013,7,1,2013-07-01,71,Lake Jackson C1016
11,2013,7,2,2013-07-02,84,Manvel Croix Park C84
15,2013,7,3,2013-07-03,88,Lang C408
6,2013,7,4,2013-07-04,86,Manvel Croix Park C84
6,2013,7,5,2013-07-05,82,Houston Bayland Park C53/A146
2,2013,7,6,2013-07-06,59,Lang C408
2,2013,7,7,2013-07-07,38,Conroe Relocated C78/A321
4,2013,7,8,2013-07-08,45,Conroe Relocated C78/A321
12,2013,7,9,2013-07-09,59,Conroe Relocated C78/A321
12,2013,7,10,2013-07-10,55,Conroe Relocated C78/A321
12,2013,7,11,2013-07-11,50,Houston Aldine C8/AF108/X150
14,2013,7,12,2013-07-12,69,HRM-3 Haden Road C603/A114
10,2013,7,13,2013-07-13,73,Seabrook Friendship Park C45
14,2013,7,14,2013-07-14,48,Conroe Relocated C78/A321
10,2013,7,15,2013-07-15,36,Wallisville Road C617
1,2013,7,16,2013-07-16,37,Lang C408
8,2013,7,17,2013-07-17,31,Galveston 99th St. C1034/A320/X183
12,2013,7,18,2013-07-18,50,Lang C408
8,2013,7,19,2013-07-19,39,Conroe Relocated C78/A321
5,2013,7,20,2013-07-20,41,Houston Aldine C8/AF108/X150
2,2013,7,21,2013-07-21,29,Conroe Relocated C78/A321
