cluster,date,year,month
0,2013-06-22,2013,6
0,2013-06-23,2013,6
0,2013-06-24,2013,6
0,2013-06-25,2013,6
8,2013-06-26,2013,6
12,2013-06-27,2013,6
12,2013-06-28,2013,6
15,2013-06-29,2013,6
11,2013-06-30,2013,6
11,2013-07-01,2013,7
11,2013-07-02,2013,7
15,2013-07-03,2013,7
6,2013-07-04,2013,7
6,2013-07-05,2013,7
2,2013-07-06,2013,7
2,2013-07-07,2013,7
4,2013-07-08,2013,7
12,2013-07-09,2013,7
12,2013-07-10,2013,7
12,2013-07-11,2013,7
14,2013-07-12,2013,7
10,2013-07-13,2013,7
14,2013-07-14,2013,7
10,2013-07-15,2013,7
1,2013-07-16,2013,7
8,2013-07-17,2013,7
12,2013-07-18,2013,7
8,2013-07-19,2013,7
5,2013-07-20,2013,7
2,2013-07-21,2013,7
0,2013-07-22,2013,7
8,2013-07-23,2013,7
13,2013-07-24,2013,7
13,2013-07-25,2013,7
12,2013-07-26,2013,7
12,2013-07-27,2013,7
15,2013-07-28,2013,7
0,2013-07-29,2013,7
12,2013-07-30,2013,7
12,2013-07-31,2013,7
12,2013-08-01,2013,8
12,2013-08-02,2013,8
12,2013-08-03,2013,8
12,2013-08-04,2013,8
12,2013-08-05,2013,8
12,2013-08-06,2013,8
12,2013-08-07,2013,8
13,2013-08-08,2013,8
15,2013-08-09,2013,8
13,2013-08-10,2013,8
12,2013-08-11,2013,8
12,2013-08-12,2013,8
12,2013-08-13,2013,8
13,2013-08-14,2013,8
14,2013-08-15,2013,8
14,2013-08-16,2013,8
14,2013-08-17,2013,8
14,2013-08-18,2013,8
13,2013-08-19,2013,8
14,2013-08-20,2013,8
9,2013-08-21,2013,8
8,2013-08-22,2013,8
9,2013-08-23,2013,8
5,2013-08-24,2013,8
8,2013-08-25,2013,8
12,2013-08-26,2013,8
8,2013-08-27,2013,8
4,2013-08-28,2013,8
12,2013-08-29,2013,8
12,2013-08-30,2013,8
13,2013-08-31,2013,8
15,2013-09-01,2013,9
10,2013-09-02,2013,9
10,2013-09-03,2013,9
14,2013-09-04,2013,9
12,2013-09-05,2013,9
12,2013-09-06,2013,9
9,2013-09-07,2013,9
5,2013-09-08,2013,9
2,2013-09-09,2013,9
2,2013-09-10,2013,9
5,2013-09-11,2013,9
5,2013-09-12,2013,9
6,2013-09-13,2013,9
3,2013-09-14,2013,9
