null
"[13, 'July 2013', 73, 'Hou.DeerPrk2 C35/235/1001/AFH139FP239']"
"[14, 'July 2013', 49, 'UH Moody Tower C695']"
"[15, 'July 2013', 39, 'UH Moody Tower C695']"
"[16, 'July 2013', 39, 'Danciger C618 ']"
"[17, 'July 2013', 29, 'Hou.DeerPrk2 C35/235/1001/AFH139FP239']"
"[18, 'July 2013', 50, 'Houston North Wayside C405/C1033']"
"[19, 'July 2013', 42, 'Texas City 34th St. C620 ']"
"[20, 'July 2013', 41, 'Houston East C1/G316']"
"[21, 'July 2013', 29, 'Seabrook Friendship Park C45']"
"[22, 'July 2013', 31, 'Houston Bayland Park C53/A146 ']"
"[23, 'July 2013', 32, 'Houston Texas Avenue C411']"
"[24, 'July 2013', 43, 'Texas City 34th St. C620 ']"
"[25, 'July 2013', 67, 'Houston Texas Avenue C411']"
"[26, 'July 2013', 36, 'Houston Bayland Park C53/A146 ']"
"[27, 'July 2013', 41, 'Park Place C416']"
"[28, 'July 2013', 38, 'Houston Bayland Park C53/A146 ']"
"[29, 'July 2013', 42, 'Houston Bayland Park C53/A146 ']"
"[30, 'July 2013', 46, 'Houston Bayland Park C53/A146 ']"
"[31, 'July 2013', 47, 'Park Place C416']"
"[1, 'August 2013', 68, 'Northwest Harris Co. C26/A110/X154']"
"[2, 'August 2013', 64, 'Houston Bayland Park C53/A146 ']"
"[3, 'August 2013', 45, 'Seabrook Friendship Park C45']"
"[4, 'August 2013', 38, 'Seabrook Friendship Park C45']"
"[5, 'August 2013', 40, 'Seabrook Friendship Park C45']"
"[6, 'August 2013', 34, 'Seabrook Friendship Park C45']"
"[7, 'August 2013', 39, 'Seabrook Friendship Park C45']"
"[8, 'August 2013', 53, 'Seabrook Friendship Park C45']"
"[9, 'August 2013', 76, 'U of H-Sugarland C696']"
"[10, 'August 2013', 52, 'Houston Aldine C8/AF108/X150 ']"
"[11, 'August 2013', 42, 'Seabrook Friendship Park C45']"
"[12, 'August 2013', 46, 'Houston Bayland Park C53/A146 ']"
"[13, 'August 2013', 42, 'UH Moody Tower C695']"
"[14, 'August 2013', 50, 'Houston Texas Avenue C411']"
"[15, 'August 2013', 58, 'Conroe Relocated C78/A321']"
"[16, 'August 2013', 94, 'Conroe Relocated C78/A321']"
"[17, 'August 2013', 80, 'HRM-3 Haden Road C603/A114 ']"
"[18, 'August 2013', 69, 'HRM-3 Haden Road C603/A114 ']"
"[19, 'August 2013', 78, 'Lang C408']"
"[20, 'August 2013', 51, 'Houston Bayland Park C53/A146 ']"
"[21, 'August 2013', 54, 'Danciger C618 ']"
"[22, 'August 2013', 48, 'Clinton C403/C304/AH113 ']"
"[23, 'August 2013', 65, 'Houston Monroe C406']"
"[24, 'August 2013', 56, 'Houston Texas Avenue C411']"
"[25, 'August 2013', 35, 'U of H-Sugarland C696']"
