Date,C1_3,C8_3,C35_3,C45_3,C78_3,C403_3,C416_3,C1034_3
20100924,10.97,9.238333333,7.605416667,6.4075,7.127916667,9.560833333,7.700833333,6.173478261
20100925,,10.48833333,11.4625,7.207083333,10.0275,11.01166667,11.87541667,6.57
20100926,,8.340416667,11.6675,9.879166667,9.466666667,9.64375,10.44166667,9.102083333
20100927,,5.938333333,10.19125,7.67,5.3175,7.51875,7.495416667,6.74875
20100928,12.495625,11.94583333,13.10727273,10.43625,8.620833333,11.79291667,12.32,10.97458333
20100929,14.94625,13.67294118,15.16166667,11.43541667,9.350416667,13.79125,13.015,12.48083333
20100930,18.43916667,19.41291667,20.29333333,16.21125,15.07625,18.41541667,19.97166667,15.71625
20110601,11.06130435,10.70166667,9.267083333,7.40952381,9.40125,11.31708333,9.615416667,9.361666667
20110602,17.72315789,17.28625,16.73958333,15.82875,15.48136364,17.46208333,15.13833333,15.98208333
20110603,19.53708333,16.7725,17.43875,16.1875,16.32125,17.47333333,14.84,13.25041667
20110604,12.13291667,9.600416667,9.750833333,9.615,9.77,10.21333333,8.92625,9.775416667
20110605,16.87526316,16.585,18.83041667,17.05041667,16.47916667,17.49208333,15.88625,13.605
20110606,24.07095238,19.28333333,30.29458333,20.89375,17.98375,22.41291667,21.515,22.82375
20110607,22.68173913,21.23916667,23.52454545,20.21125,23.07458333,23.18958333,20.15458333,17.39458333
20110608,14.11916667,12.25375,12.55583333,11.5825,25.71,14.70083333,10.59458333,11.52458333
20110609,14.24416667,13.3625,12.69458333,11.61541667,,12.485,10.6225,11.67416667
20110610,15.70875,14.18958333,14.46666667,14.39708333,,14.1375,12.03916667,16.55958333
20110611,20.9125,20.01958333,18.18125,16.90541667,,18.13958333,16.98916667,17.16458333
20110612,16.95625,16.08958333,14.8375,13.92958333,,14.36541667,13.21625,13.40375
20110613,12.69863636,11.1525,10.62833333,8.629444444,,12.62909091,9.10625,10.71833333
20110614,9.018571429,8.696666667,8.012083333,7.635833333,,12.52916667,7.315454545,8.150416667
20110615,7.416,6.597,6.455833333,6.565416667,,11.29583333,7.163571429,6.702083333
20110616,12.72304348,12.74833333,11.27,11.69958333,,15.36375,23.14,13.00625
20110617,13.32,13.49958333,11.90583333,12.79291667,,15.75375,23.91045455,13.28875
20110618,9.689,9.792916667,8.615217391,8.812083333,,10.99666667,11.69791667,9.618333333
20110619,8.059545455,8.79,7.586666667,7.250416667,,9.22375,9.477916667,8.314583333
20110620,6.700833333,7.605416667,6.055,6.03,,10.17375,8.803333333,8.27625
20110621,10.24166667,9.831111111,9.089583333,9.110833333,,13.5475,16.27,11.12391304
20110622,6.47,5.190833333,6.481666667,5.0625,,7.104090909,8.895416667,6.575833333
20110623,6.30875,6.275416667,5.34875,4.50875,,7.847916667,6.00625,4.61125
20110624,7.285416667,7.412916667,4.604666667,4.72125,,8.992083333,6.1875,5.558333333
20110625,8.248333333,9.14,,7.13625,,9.654166667,8.3125,8.385
20110626,12.72125,13.4925,,11.23375,,13.16958333,12.58541667,12.30458333
20110627,11.37428571,11.9275,9.245454545,8.80625,,13.00208333,10.77208333,9.125416667
20110628,9.938333333,11.02708333,8.055833333,7.974583333,,10.42916667,8.73125,7.952941176
20110629,11.30041667,10.91541667,7.882916667,7.995416667,,12.16375,8.8375,8.642083333
20110630,13.983,12.48083333,10.98772727,9.889583333,,12.71375,11.27708333,10.91333333
20110701,21.47416667,22.63791667,19.24333333,17.57166667,,22.30833333,21.1325,19.36208333
20110702,17.2005,17.9775,16.73041667,14.5275,,21.26625,18.76416667,14.62375
20110703,19.63619048,21.03875,18.63416667,17.96333333,,19.89583333,19.88125,20.38083333
20110704,17.1147619,18.40541667,16.28583333,14.92291667,,16.56833333,16.9325,16.18916667
20110705,15.93315789,16.61708333,12.89166667,12.345,,15.84416667,13.65041667,13.05791667
20110706,15.24708333,15.47541667,10.07916667,6.577272727,,15.06272727,12.27875,7.395416667
20110707,10.52714286,10.40375,8.115,7.96875,,12.26291667,9.52,8.145416667
20110708,,5.960416667,5.057083333,4.832916667,,8.071666667,5.699166667,4.783333333
20110709,,8.095833333,7.352083333,7.62875,,9.10375,7.177083333,8.716666667
20110710,,9.742083333,9.272916667,9.454583333,,9.965,9.137916667,9.262083333
20110711,,10.07375,7.865,7.770416667,,11.62333333,8.192083333,7.47625
20110712,,6.209583333,3.706363636,4.216666667,,9.674166667,4.798333333,4.20125
20110713,7.824545455,7.28125,5.703333333,5.8,,11.67625,6.360833333,6.265833333
20110714,13.67478261,11.59416667,11.60333333,11.77833333,,15.03041667,11.83333333,14.07041667
20110715,16.72291667,14.91791667,14.68375,14.23833333,,18.70291667,14.88916667,15.62458333
20110716,13.67958333,12.97041667,11.07333333,10.2275,,14.27083333,12.035,10.44833333
20110717,11.31578947,9.394166667,9.064583333,8.909583333,,9.879166667,8.252083333,9.162083333
20110718,10.67208333,8.639583333,9.519166667,9.110833333,,10.50772727,8.79375,9.117083333
20110719,12.33208333,9.515833333,8.909166667,7.652916667,,13.80291667,8.946666667,7.565833333
20110720,12.6375,12.75666667,10.40041667,10.11208333,,16.60666667,12.06708333,11.65791667
20110721,19.47916667,18.73541667,16.47583333,15.84041667,,22.26708333,18.48375,16.94666667
20110722,9.855833333,8.52875,7.965833333,7.554583333,,11.8475,8.608333333,8.082916667
20110723,10.23652174,9.24,9.253333333,8.585,,12.32125,9.685416667,9.755833333
20110724,10.84521739,9.225416667,8.6175,8.432916667,,10.86458333,8.8825,8.3725
20110725,9.234166667,7.288,7.248333333,6.532916667,,11.14333333,9.227916667,5.534736842
20110726,8.732857143,8.3175,7.251666667,6.632083333,,11.46208333,8.477916667,6.683333333
20110727,7.894583333,7.894166667,5.974166667,5.788333333,,9.5275,6.207916667,5.962083333
20110728,7.78,8.2575,5.521666667,5.375833333,,9.029166667,5.9275,5.183333333
20110729,7.549583333,6.427916667,4.77,4.730416667,,7.003333333,4.96,6.0775
20110730,10.83041667,10.8875,9.384583333,9.265416667,,10.7225,,11.18791667
20110731,10.78136364,10.72291667,7.66125,7.042608696,,10.23166667,,6.887083333
20110801,7.318421053,8.366666667,6.410416667,6.662272727,,9.420416667,,5.636666667
20110802,6.487368421,7.546666667,6.00125,5.890555556,,9.555416667,,6.009166667
20110803,6.264210526,6.667916667,5.511428571,4.98125,,9.537083333,,5.185416667
20110804,6.5305,6.856666667,5.319166667,5.400833333,,10.00125,,5.256666667
20110805,5.978181818,5.653333333,4.450416667,4.47375,,7.75,,4.158333333
20110806,5.61,5.457083333,4.5475,4.81625,,5.906666667,,5.165
20110807,5.153809524,6.01375,4.230416667,4.588333333,,5.4425,,4.37375
20110808,8.1485,8.290833333,6.84875,7.3125,,10.42541667,,8.24625
20110809,10.91894737,12.91166667,10.78666667,11.62416667,,13.19541667,14.163,14.36041667
20110810,12.6645,12.96208333,10.90708333,11.18,,13.47272727,13.1575,12.90083333
20110811,11.044,11.2575,9.49125,9.866666667,,12.56041667,11.6375,11.51458333
20110812,8.166818182,8.9275,7.771666667,7.67625,,10.47375,9.754583333,8.534583333
20110813,7.330833333,8.344166667,6.51375,6.412083333,,10.27041667,8.54875,7.179166667
20110814,8.200952381,7.904166667,7.115416667,6.191666667,,9.077083333,9.1075,6.524583333
20110815,7.633157895,8.645833333,7.105833333,6.769166667,,11.7825,9.647083333,7.00375
20110816,8.932631579,8.783333333,7.6075,7.967083333,,13.12833333,9.47875,8.639583333
20110817,10.53666667,9.7875,7.830416667,8.384347826,,11.85125,10.36875,8.059583333
20110818,8.928333333,10.09708333,7.973333333,8.588333333,,11.67583333,10.9125,7.95
20110819,11.24055556,12.15833333,10.40208333,9.740833333,,13.77541667,12.505,9.734583333
20110820,13.69222222,13.9475,11.50708333,12.01875,,13.88875,12.92916667,11.70208333
20110821,9.221904762,10.035,7.606666667,8.414285714,,9.11125,9.4475,7.255
20110822,11.83947368,11.66125,8.573333333,8.696923077,,12.13291667,10.53083333,8.801666667
