date,maximum,site,cluster,year,month,day
2013-07-08,45,Conroe Relocated C78/A321,4,2013,7,8
2013-07-09,59,Conroe Relocated C78/A321,12,2013,7,9
2013-07-10,55,Conroe Relocated C78/A321,12,2013,7,10
2013-07-11,53,Crosby Library C553,12,2013,7,11
2013-07-12,69,HRM-3 Haden Road C603/A114,14,2013,7,12
2013-07-13,73,Seabrook Friendship Park C45,10,2013,7,13
2013-07-14,49,UH WG Jones Forest C698,14,2013,7,14
2013-07-15,39,UH WG Jones Forest C698,10,2013,7,15
2013-07-16,43,Bunker Hill Village C562,1,2013,7,16
2013-07-17,31,Galveston 99th St. C1034/A320/X183,8,2013,7,17
2013-07-18,63,West Houston C554,12,2013,7,18
2013-07-19,43,West Houston C554,8,2013,7,19
2013-07-20,45,Meyer Park C561,5,2013,7,20
2013-07-21,31,Crosby Library C553,2,2013,7,21
2013-07-22,31,Conroe Relocated C78/A321,0,2013,7,22
2013-07-23,35,Crosby Library C553,8,2013,7,23
2013-07-24,50,Crosby Library C553,13,2013,7,24
2013-07-25,67,Crosby Library C553,13,2013,7,25
2013-07-26,37,Huffman Wolf Road C563,12,2013,7,26
2013-07-27,41,Wallisville Road C617,12,2013,7,27
2013-07-28,38,Conroe Relocated C78/A321,15,2013,7,28
2013-07-29,42,Conroe Relocated C78/A321,0,2013,7,29
2013-07-30,46,Conroe Relocated C78/A321,12,2013,7,30
2013-07-31,50,Crosby Library C553,12,2013,7,31
2013-08-01,68,Hou.DeerPrk2 C35/235/1001/AFH139FP239,12,2013,8,1
2013-08-02,64,Conroe Relocated C78/A321,12,2013,8,2
2013-08-03,45,Conroe Relocated C78/A321,12,2013,8,3
2013-08-04,38,Conroe Relocated C78/A321,12,2013,8,4
2013-08-05,40,Conroe Relocated C78/A321,12,2013,8,5
2013-08-06,37,Huffman Wolf Road C563,12,2013,8,6
2013-08-07,41,Huffman Wolf Road C563,12,2013,8,7
2013-08-08,53,Conroe Relocated C78/A321,13,2013,8,8
2013-08-09,79,Meyer Park C561,15,2013,8,9
2013-08-10,54,West Houston C554,13,2013,8,10
2013-08-11,47,Meyer Park C561,12,2013,8,11
2013-08-12,46,Conroe Relocated C78/A321,12,2013,8,12
2013-08-13,48,Huffman Wolf Road C563,12,2013,8,13
2013-08-14,57,Crosby Library C553,13,2013,8,14
2013-08-15,58,Manvel Croix Park C84,14,2013,8,15
2013-08-16,94,Manvel Croix Park C84,14,2013,8,16
2013-08-17,80,Danciger C618,14,2013,8,17
2013-08-18,69,Danciger C618,14,2013,8,18
2013-08-19,78,Houston Westhollow C410/C3003,13,2013,8,19
2013-08-20,51,Conroe Relocated C78/A321,14,2013,8,20
2013-08-21,54,U of H-Sugarland C696,9,2013,8,21
2013-08-22,54,West Houston C554,8,2013,8,22
2013-08-23,65,Houston Croquet C409,9,2013,8,23
2013-08-24,56,Danciger C618,5,2013,8,24
2013-08-25,38,Mercer Arboretum C557,8,2013,8,25
2013-08-26,29,Galveston 99th St. C1034/A320/X183,12,2013,8,26
2013-08-27,52,Meyer Park C561,8,2013,8,27
2013-08-28,83,Northwest Harris Co. C26/A110/X154,4,2013,8,28
2013-08-29,78,Seabrook Friendship Park C45,12,2013,8,29
2013-08-30,78,Wallisville Road C617,12,2013,8,30
