Site/Site AQS/Param/POC,Date (LST),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average,Max
Galveston Airpo/481671034/PM2.5-88101/2,6/22/2019,19,17,19,21,14,20,20,21,22,18,23,23,25,22,22,23,23,20,16,16,16,17,18,17,19.67,25
Galveston Airpo/481671034/PM2.5-88101/2,6/23/2019,17,16,18,19,21,20,19,20,16,19,16,17,24,21,21,21,23,23,22,19,23,20,26,25,20.25,26
Galveston Airpo/481671034/PM2.5-88101/2,6/24/2019,26,26,27,26,25,28,-2,2,6,4,7,7,5,8,6,13,14,19,12,13,11,14,18,20,13.96,28
Galveston Airpo/481671034/PM2.5-88101/2,6/25/2019,12,15,16,14,18,26,25,,23,-4,20,14,,,11,5,10,8,11,13,6,9,15,16,13.48,26
Galveston Airpo/481671034/PM2.5-88101/2,6/26/2019,12,15,14,15,16,16,18,17,19,22,21,27,16,11,20,20,13,13,15,15,14,12,15,15,16.29,27
Galveston Airpo/481671034/PM2.5-88101/2,6/27/2019,17,12,14,15,16,19,15,21,17,17,16,15,16,13,15,12,18,16,15,17,21,21,26,20,16.83,26
Galveston Airpo/481671034/PM2.5-88101/2,6/28/2019,23,25,24,26,21,19,23,19,25,24,23,21,20,20,15,5,12,10,19,15,15,15,22,17,19.08,26
Galveston Airpo/481671034/PM2.5-88101/2,6/29/2019,17,15,16,14,16,14,18,13,18,17,13,20,13,9,9,6,5,10,10,7,7,9,9,9,12.25,20
Galveston Airpo/481671034/PM2.5-88101/2,6/30/2019,10,10,6,14,9,12,10,10,8,9,13,16,10,13,15,14,14,14,13,13,13,12,13,10,11.71,16
Hamshire C64/482450022/PM2.5-88101/2,6/1/2019,7,9,5,7,9,6,6,8,9,8,14,10,13,7,13,7,7,11,10,7,5,9,10,12,8.71,14
Hamshire C64/482450022/PM2.5-88101/2,6/2/2019,14,14,10,7,7,11,4,7,8,11,9,11,15,17,7,7,11,6,10,13,4,7,11,12,9.71,17
Hamshire C64/482450022/PM2.5-88101/2,6/3/2019,11,16,13,10,9,9,14,,,,11,6,24,6,10,8,8,9,13,10,11,10,6,10,10.67,24
Hamshire C64/482450022/PM2.5-88101/2,6/4/2019,8,8,9,6,7,1,1,6,7,7,7,6,2,3,6,5,4,-1,2,3,2,2,0,1,4.25,9
Hamshire C64/482450022/PM2.5-88101/2,6/5/2019,3,4,0,3,1,4,0,3,2,1,6,3,5,3,-2,5,4,3,3,1,-1,7,4,1,2.63,7
Hamshire C64/482450022/PM2.5-88101/2,6/6/2019,0,2,2,1,0,1,1,-1,3,8,7,1,5,3,5,14,1,11,7,12,9,8,6,4,4.58,14
Hamshire C64/482450022/PM2.5-88101/2,6/7/2019,2,4,2,7,3,1,0,5,7,8,11,14,10,12,12,13,7,13,8,7,4,4,9,6,7.04,14
Hamshire C64/482450022/PM2.5-88101/2,6/8/2019,7,6,4,7,5,2,6,5,4,10,10,5,18,4,3,1,5,9,5,18,17,8,8,14,7.54,18
Hamshire C64/482450022/PM2.5-88101/2,6/9/2019,12,17,13,16,15,14,16,13,13,23,13,13,14,8,9,15,10,7,10,10,16,9,14,12,13,23
Hamshire C64/482450022/PM2.5-88101/2,6/10/2019,14,17,16,16,17,14,19,15,19,19,16,14,9,13,7,11,15,8,12,26,18,15,16,17,15.13,26
Hamshire C64/482450022/PM2.5-88101/2,6/11/2019,18,11,13,11,6,9,5,7,6,8,7,9,7,10,5,10,14,4,10,12,13,12,11,13,9.63,18
Hamshire C64/482450022/PM2.5-88101/2,6/12/2019,13,11,12,13,12,16,10,8,7,17,13,10,10,10,12,7,9,9,11,9,11,14,14,14,11.33,17
Hamshire C64/482450022/PM2.5-88101/2,6/13/2019,10,12,15,11,12,6,10,14,14,15,13,13,13,9,8,14,4,16,21,17,18,20,18,20,13.46,21
Hamshire C64/482450022/PM2.5-88101/2,6/14/2019,23,20,18,18,17,16,16,13,13,12,13,13,9,13,7,9,12,6,8,6,5,5,8,16,12.33,23
Hamshire C64/482450022/PM2.5-88101/2,6/15/2019,9,9,6,5,5,7,5,10,10,5,11,15,17,13,14,15,13,14,16,13,13,13,12,14,11,17
Hamshire C64/482450022/PM2.5-88101/2,6/16/2019,14,16,16,13,16,17,18,15,16,21,17,17,14,15,13,15,13,12,2,2,1,-1,2,4,12,21
Hamshire C64/482450022/PM2.5-88101/2,6/17/2019,-3,5,0,3,7,4,0,1,0,3,1,2,1,3,2,1,5,1,7,2,6,4,3,4,2.58,7
Hamshire C64/482450022/PM2.5-88101/2,6/18/2019,5,3,4,3,5,2,6,5,6,2,10,4,10,8,15,11,5,7,9,4,4,6,3,4,5.88,15
Hamshire C64/482450022/PM2.5-88101/2,6/19/2019,1,2,2,3,4,-3,3,6,2,11,13,12,11,9,12,13,10,8,6,5,8,8,8,11,6.88,13
Hamshire C64/482450022/PM2.5-88101/2,6/20/2019,12,15,3,6,12,8,6,12,,12,12,8,15,14,16,14,22,26,21,19,16,13,18,12,13.57,26
Hamshire C64/482450022/PM2.5-88101/2,6/21/2019,12,9,11,11,15,14,13,17,18,22,22,20,18,16,21,37,27,20,18,20,21,20,18,15,18.13,37
Hamshire C64/482450022/PM2.5-88101/2,6/22/2019,15,15,15,16,17,21,16,19,22,22,16,18,20,21,20,24,24,21,22,19,20,16,17,20,19,24
Hamshire C64/482450022/PM2.5-88101/2,6/23/2019,15,18,20,22,22,22,18,19,17,17,14,13,18,17,21,19,21,25,21,22,24,22,21,24,19.67,25
Hamshire C64/482450022/PM2.5-88101/2,6/24/2019,21,21,21,24,11,-2,5,7,7,2,5,2,3,8,4,7,7,7,10,11,4,6,8,6,8.54,24
Hamshire C64/482450022/PM2.5-88101/2,6/25/2019,7,7,6,8,7,15,20,13,3,4,3,5,7,9,9,7,13,11,11,8,12,14,14,14,9.46,20
Hamshire C64/482450022/PM2.5-88101/2,6/26/2019,11,11,10,9,9,11,11,14,16,21,19,20,14,16,13,15,16,11,27,17,14,10,12,13,14.17,27
